AtomType	Value	Stdev	%dev
LEUHB2	0.0964	0.0136	14.1
LEUHD11	0.0964	0.0136	14.1
LEUHD12	0.0964	0.0136	14.1
LEUHD13	0.0964	0.0136	14.1
LEUHD21	0.0964	0.0136	14.1
LEUHD22	0.0964	0.0136	14.1
LEUHD23	0.0964	0.0136	14.1
LEUHG	0.0964	0.0136	14.1
LEUN	-0.6046	0.0413	6.8
LEUO	-0.6885	0.0478	6.9
LYSC	0.6885	0.0478	6.9
LYSCA	0.0901	0.0061	6.8
LYSCB	-0.1574	0.0217	13.8
LYSCD	-0.1574	0.0217	13.8
LYSCE	0.1962	0.0132	6.7
LYSCG	-0.1574	0.0217	13.8
LYSH	0.3988	0.0272	6.8
LYSHA	0.1158	0.0079	6.8
LYSHB1	0.0874	0.0025	2.9
LYSHB2	0.0874	0.0025	2.9
LYSHD1	0.0874	0.0025	2.9
LYSHD2	0.0874	0.0025	2.9
LYSHE1	0.0512	0.0011	2.1
LYSHE2	0.0512	0.0011	2.1
LYSHG1	0.0874	0.0025	2.9
LYSHG2	0.0874	0.0025	2.9
LYSHZ1	0.305	0.0239	7.8
LYSHZ2	0.305	0.0239	7.8
LYSHZ3	0.305	0.0239	7.8
LYSN	-0.6046	0.0413	6.8
LYSNZ	-0.2661	0.0324	12.2
LYSO	-0.6885	0.0478	6.9
METC	0.6885	0.0478	6.9
METCA	0.0901	0.0061	6.8
METCB	-0.1928	0.0271	14.1
METCE	-0.2357	0.0332	14.1
METCG	-0.15	0.0211	14.1
METH	0.3988	0.0272	6.8
METHA	0.1158	0.0079	6.8
METHB1	0.0964	0.0136	14.1
METHB2	0.0964	0.0136	14.1
METHE1	0.0964	0.0136	14.1
METHE2	0.0964	0.0136	14.1
METHE3	0.0964	0.0136	14.1
METHG1	0.0964	0.0136	14.1
METHG2	0.0964	0.0136	14.1
METN	-0.6046	0.0413	6.8
METO	-0.6885	0.0478	6.9
METSD	-0.0964	0.0136	14.1
PHEC	0.6885	0.0478	6.9
PHECA	0.0901	0.0061	6.8
PHECB	-0.1928	0.0121	6.3
PHECD1	-0.1232	0.0077	6.3
PHECD2	-0.1232	0.0077	6.3
PHECE1	-0.1232	0.0077	6.3
PHECE2	-0.1232	0.0077	6.3
